"","Carrier","Airport_Distance","Number_of_flights","Weather","Support_Crew_Available","Baggage_loading_time","Late_Arrival_o","Cleaning_o","Fueling_o","Security_o","Arr_Delay"
"1","UA",437,41300,5,83,17,19,15,26,31,58
"4","B6",454,44798,6,49,18,19,13,29,31,81
"6","UA",416,39707,5,146,16,19,6,28,31,34
"7","B6",439,45627,5,141,16,19,15,21,39,63
"8","EV",446,40415,5,145,17,18,9,25,39,47
"11","B6",458,45677,5,148,17,18,8,24,35,59
"12","B6",479,44826,6,25,18,19,8,26,46,122
"13","UA",442,43420,6,110,16,19,10,25,25,52
"14","UA",435,43774,5,49,17,18,8,23,34,74
"15","AA",436,41059,5,7,17,19,13,24,41,63
"17","UA",442,44390,6,92,17,19,14,25,36,66
"18","B6",420,42055,5,111,16,19,10,24,31,44
"19","MQ",430,47861,6,29,19,20,8,26,39,149
"20","B6",437,42652,6,74,17,19,1,24,36,70
"21","DL",476,48873,6,97,18,20,9,28,33,134
"22","MQ",439,45130,6,31,17,19,14,21,44,71
"23","AA",442,47463,5,85,18,19,4,23,43,101
"24","DL",451,41798,5,53,17,19,8,28,37,58
"25","UA",443,45784,6,55,18,19,8,27,38,93
"26","MQ",458,44658,5,57,18,19,10,26,50,82
"27","UA",441,47323,5,32,18,20,5,22,31,119
"28","B6",466,45470,5,72,17,19,14,29,26,97
"30","DL",434,37687,5,220,16,17,9,24,36,18
"31","US",445,43944,6,89,17,19,16,24,38,88
"33","UA",414,37461,5,148,16,18,7,21,31,16
"34","EV",454,41726,5,67,17,18,2,27,38,61
"35","MQ",452,52765,6,83,18,19,9,28,48,133
"36","US",438,42817,5,147,16,18,5,24,46,38
"38","UA",441,46969,5,11,17,18,5,29,38,87
"40","WN",442,45388,5,120,17,19,15,23,36,67
"42","EV",429,45799,6,73,18,19,5,26,46,84
"43","AA",467,43914,6,95,17,19,9,25,30,95
"44","B6",478,48485,6,81,18,19,7,22,42,103
"46","UA",420,42278,5,41,17,20,7,23,41,88
"47","US",442,42912,6,70,17,19,10,24,26,59
"48","UA",438,43670,5,83,16,19,8,27,38,55
"50","UA",473,44467,6,18,18,20,11,28,44,115
"51","UA",447,44102,5,73,16,18,8,22,36,51
"52","B6",431,45636,5,21,16,19,5,19,32,60
"53","B6",466,44498,6,32,18,19,8,19,42,96
"54","DL",427,38936,6,150,17,18,8,29,36,50
"55","DL",414,37212,5,177,15,17,9,30,30,10
"56","DL",445,39319,5,91,16,18,12,20,33,40
"57","DL",437,44826,6,54,18,20,5,22,40,101
"58","AA",425,43992,6,89,18,19,12,22,43,84
"59","AA",459,44524,5,57,17,19,2,28,33,83
"60","MQ",427,43738,5,106,17,19,4,29,36,43
"61","UA",454,43460,5,65,18,20,11,25,40,80
"62","DL",443,47063,6,66,17,20,11,28,41,114
"63","DL",472,45162,6,153,18,20,10,23,42,93
"67","DL",431,42880,6,140,18,19,9,23,39,87
"68","UA",412,40863,6,147,16,17,9,23,41,34
"69","UA",447,42236,5,116,17,20,12,24,38,83
"71","UA",418,39152,5,136,16,18,12,23,26,10
"72","B6",424,38334,5,166,16,18,12,23,32,38
"73","AA",439,43504,5,73,17,19,12,21,32,59
"74","UA",497,44430,5,66,17,18,9,21,27,68
"75","FL",438,40927,5,105,16,17,10,28,34,39
"76","B6",437,44379,5,57,17,18,7,22,49,41
"77","UA",427,48776,5,110,18,20,8,24,50,115
"78","AA",436,42387,5,122,16,18,4,25,31,53
"79","AS",434,43486,6,68,17,19,11,27,35,82
"80","AA",444,39018,5,162,17,18,10,29,29,52
"81","UA",445,44210,6,58,17,18,12,23,30,71
"82","UA",464,45914,5,37,18,19,5,25,26,113
"83","VX",460,47124,6,119,17,19,9,26,40,100
"85","B6",445,44860,5,79,17,19,3,20,39,63
"86","UA",432,43804,6,87,17,18,8,23,29,68
"87","B6",466,44153,5,126,18,19,10,24,38,103
"88","B6",471,42556,5,81,17,18,4,22,37,38
"89","AA",453,42034,5,138,17,18,5,21,55,67
"91","B6",422,46407,6,102,17,20,7,24,41,94
"93","B6",449,47524,5,36,18,19,10,20,39,86
"94","DL",453,38996,6,52,16,18,14,26,28,59
"95","AA",454,43704,5,123,18,19,8,25,34,92
"96","UA",416,44192,6,46,17,20,12,27,33,85
"98","DL",441,47862,5,134,18,20,5,25,35,123
"99","UA",422,50365,5,88,18,20,9,25,40,113
"100","US",441,43815,6,55,17,20,12,19,30,71
"101","AA",399,42572,5,150,16,19,6,30,45,46
"103","WN",449,44579,6,105,17,18,9,22,43,78
"104","B6",433,42057,5,52,17,19,15,30,33,84
"105","DL",441,44111,5,105,17,18,9,24,43,68
"106","DL",432,45031,5,50,17,19,10,23,31,79
"108","B6",456,41446,5,93,17,19,4,30,30,38
"109","AA",435,43374,6,135,16,20,7,31,36,40
"111","DL",462,43453,5,102,17,18,16,20,34,55
"112","B6",413,34943,6,184,16,16,11,28,29,6
"115","DL",454,41589,6,63,18,18,11,26,21,104
"116","EV",452,48188,6,66,18,19,17,28,32,129
"117","9E",421,44691,5,105,18,19,5,22,34,79
"118","DL",457,46810,6,105,18,19,13,25,41,94
"119","EV",441,46204,5,58,17,19,12,16,44,101
"120","MQ",434,44322,5,31,17,19,14,25,39,91
"122","EV",440,42768,5,55,16,19,5,21,32,54
"123","DL",422,40288,5,69,16,18,12,26,36,51
"125","B6",450,45586,6,128,17,18,9,23,31,77
"126","B6",443,41000,6,1,17,19,16,22,51,71
"127","DL",438,43875,6,89,17,19,14,24,45,74
"129","B6",467,43803,5,164,17,19,7,25,36,57
"130","MQ",416,42951,5,74,16,18,12,23,28,65
"132","US",414,39823,5,159,16,18,12,25,35,25
"134","AA",439,40438,5,135,17,18,8,24,42,48
"135","B6",412,42325,5,142,16,17,12,29,26,33
"136","AA",431,44174,6,79,18,20,13,24,32,99
"137","UA",454,40915,5,159,17,18,13,27,42,33
"138","B6",423,39496,5,109,16,19,9,26,32,54
"139","UA",450,47162,5,42,18,19,11,28,55,102
"140","UA",442,46261,5,95,17,19,9,22,36,52
"141","UA",475,47080,6,50,17,19,10,25,35,110
"142","AA",443,40703,5,62,16,18,13,29,42,27
"143","MQ",457,40498,5,87,17,18,15,27,30,42
"144","EV",469,43951,5,44,17,19,6,28,44,70
"145","MQ",416,37055,5,165,16,17,8,23,41,6
"146","F9",438,41098,5,77,17,19,17,16,47,59
"147","AA",439,44447,5,116,17,19,6,28,30,72
"148","MQ",452,45841,6,36,18,19,8,30,45,86
"150","DL",454,40637,5,122,17,18,11,28,35,43
"151","B6",415,41731,6,46,17,19,5,26,31,67
"152","MQ",422,36944,5,143,16,18,16,21,42,14
"153","UA",466,45092,5,70,17,19,16,22,38,88
"154","EV",435,45130,5,95,17,19,4,23,34,72
"155","DL",416,44928,5,79,17,18,12,22,25,79
"156","UA",434,43265,5,68,17,19,6,21,34,56
"157","WN",421,43910,5,19,17,19,12,27,40,61
"159","DL",441,44453,5,94,17,18,8,24,38,84
"160","AA",464,46411,6,39,18,20,12,28,34,130
"161","DL",455,47220,6,112,18,19,3,25,38,90
"163","HA",433,40420,5,119,16,18,15,31,34,26
"164","DL",439,46077,5,66,17,20,9,26,38,92
"165","DL",459,44652,5,59,17,19,12,25,43,67
"166","UA",411,43671,6,72,17,18,14,28,24,58
"167","MQ",459,45435,6,57,18,19,13,24,24,108
"168","DL",459,39843,6,96,17,19,14,24,38,77
"169","VX",449,45750,6,67,18,19,5,25,41,123
"171","UA",456,45521,6,51,17,19,12,22,36,96
"173","UA",435,46012,5,47,17,19,7,24,40,101
"174","B6",438,45657,5,44,16,18,14,17,25,82
"176","B6",413,40564,5,100,16,19,9,26,35,40
"177","US",424,40742,6,98,17,18,9,22,33,56
"178","UA",444,41325,5,64,17,19,7,30,39,55
"179","AA",430,44178,5,99,17,18,11,20,42,79
"181","UA",438,41607,6,143,17,18,8,21,30,56
"182","UA",423,41117,5,92,16,19,7,26,34,40
"183","AA",440,40862,5,217,16,18,12,23,50,38
"184","UA",439,43486,5,76,17,19,12,23,33,47
"185","AA",408,37948,6,80,16,17,9,20,42,10
"186","B6",475,43179,6,70,18,19,7,33,54,86
"188","B6",458,44563,5,27,18,19,14,29,34,89
"190","DL",450,39149,6,38,17,19,13,25,32,46
"191","B6",452,41310,5,1,17,19,11,29,30,59
"193","B6",439,47585,5,52,18,18,9,30,30,83
"194","UA",459,41236,5,118,17,19,10,21,36,74
"195","DL",410,39259,5,130,16,18,4,24,36,36
"196","EV",438,43817,6,95,17,18,8,25,32,62
"197","WN",408,39958,5,83,16,18,10,25,30,39
"198","UA",418,44504,5,55,17,20,13,26,45,73
"200","UA",446,42086,6,67,17,20,11,25,39,92
"201","VX",424,41437,5,108,17,18,11,30,29,43
"202","B6",440,41936,5,98,16,18,9,23,27,29
"203","B6",423,44597,6,109,17,19,16,22,36,82
"204","WN",454,43438,5,70,18,19,15,27,42,79
"206","DL",478,43556,5,14,17,19,5,24,30,75
"207","B6",468,42750,5,102,17,19,6,20,44,92
"208","WN",423,43449,5,201,17,18,9,22,45,44
"210","MQ",427,41060,5,97,16,18,10,23,39,36
"211","B6",435,42131,5,60,16,18,12,22,32,49
"213","B6",419,42726,5,30,16,18,14,31,37,48
"215","MQ",452,48389,6,88,18,20,7,24,24,122
"216","UA",440,46978,5,36,18,20,9,23,30,100
"218","DL",462,44795,6,136,17,19,10,20,31,90
"219","UA",426,42930,5,76,16,18,5,25,34,53
"220","DL",429,45709,5,115,17,19,7,23,47,59
"221","US",428,42923,5,42,17,19,10,21,36,79
"222","B6",478,44274,5,100,17,19,8,22,45,63
"224","UA",466,42839,5,84,17,19,3,17,39,75
"225","MQ",441,44602,6,117,17,19,9,24,39,101
"226","DL",466,45764,5,10,17,19,10,25,41,99
"227","US",412,44910,5,87,17,18,7,23,37,51
"228","US",454,46185,6,132,17,19,5,23,34,105
"229","EV",416,46512,5,43,18,20,12,23,37,106
"230","DL",433,40438,5,59,16,18,17,32,41,44
"232","EV",440,46439,5,107,17,19,9,25,48,89
"233","MQ",448,38015,5,148,15,17,7,23,32,10
"234","AA",444,44284,5,59,17,19,8,31,34,67
"235","UA",431,43712,5,43,17,19,10,25,36,64
"237","UA",412,36038,5,154,16,18,11,23,40,16
"238","AA",475,43512,6,51,17,19,14,24,38,100
"239","EV",471,45465,6,31,18,19,7,24,36,130
"241","UA",451,43019,5,80,18,19,11,29,38,92
"242","EV",445,41756,5,111,16,19,9,26,33,37
"243","UA",428,43092,6,31,16,19,13,27,28,56
"244","AA",443,43924,6,48,17,20,9,26,41,100
"245","UA",442,44299,5,59,18,19,9,21,42,95
"246","B6",476,42534,5,148,17,18,12,27,39,74
"247","EV",454,43317,5,87,18,19,9,21,33,111
"248","UA",435,43761,5,85,17,20,10,20,41,85
"249","UA",410,44537,6,62,17,19,13,26,42,77
"250","AA",413,35093,5,138,15,18,13,24,33,8
"252","MQ",446,45429,5,63,17,19,16,30,29,66
"255","EV",420,42628,6,97,17,19,7,26,38,65
"256","DL",433,41528,5,109,17,18,12,23,42,56
"257","US",439,41249,5,96,17,19,8,23,34,53
"258","WN",463,42950,5,74,18,20,14,20,35,98
"259","MQ",413,41130,5,84,17,18,7,26,56,29
"262","DL",450,45206,5,83,18,19,8,29,32,100
"264","MQ",441,41634,6,166,17,17,9,21,38,48
"265","AA",412,46591,6,66,18,20,7,22,33,120
"266","B6",439,42836,5,92,17,18,3,29,47,47
"267","UA",459,45581,6,107,17,19,8,21,23,89
"268","DL",460,40970,5,33,17,19,10,27,41,60
"269","UA",450,41356,5,121,16,19,9,30,33,42
"270","EV",432,45457,6,154,17,18,13,27,47,87
"271","WN",444,39480,6,75,17,18,9,29,41,50
"273","B6",466,42404,6,111,17,17,13,25,42,46
"274","DL",428,41764,6,115,16,19,5,25,51,30
"276","EV",440,41680,5,78,17,20,13,26,27,65
"277","UA",438,44246,5,74,17,19,11,19,47,84
"278","UA",432,44191,5,103,17,18,15,22,31,86
"279","UA",448,43332,6,77,17,19,8,24,39,105
"281","DL",439,44755,5,62,18,20,12,20,34,105
"282","MQ",459,43554,6,71,18,19,13,26,37,81
"283","B6",418,40521,5,73,16,18,8,32,43,41
"286","DL",445,45924,5,152,17,18,7,28,23,67
"287","UA",423,39446,5,108,17,18,17,25,36,50
"288","EV",439,44390,5,43,17,19,13,18,27,80
"290","EV",450,40500,5,84,16,19,9,26,29,27
"291","EV",432,43012,5,92,16,18,10,21,41,41
"293","DL",489,49079,6,60,18,20,8,20,29,125
"296","AA",435,42204,5,78,16,20,11,22,38,33
"297","DL",415,37515,6,132,16,18,14,28,42,36
"299","MQ",474,45995,6,88,18,20,6,25,48,112
