"","Marital_Status","Term","Phone_service","International_plan","Voice_mail_plan","Multiple_line","Internet_service","Technical_support","Streaming_Videos","Agreement_period","Monthly_Charges","Total_Charges","Churn"
"810","Married",54,"Yes","Yes","Yes","Yes","DSL","Yes","Yes","One year contract",85.1,4326.8,"No"
"869","Single",34,"Yes","Yes","No","No","No Internet","No internet ","No internet ","One year contract",19.85,654.55,"No"
"149","Married",1,"Yes","No","Yes","Yes","Cable","No","No","Monthly contract",76.1,48.55,"Yes"
"875","Single",3,"Yes","yes","Yes","Yes","No Internet","No internet ","No internet ","Monthly contract",24.3,220.45,"No"
"194","Married",66,"Yes","No","No","Yes","DSL","Yes","Yes","Two year contract",75.8,5714.25,"No"
"633","Single",66,"No","No","No","No phone ","DSL","Yes","No","Two year contract",30.1,1813.35,"No"
"463","Married",32,"Yes","Yes","Yes","Yes","Fiber optic","No","No","Monthly contract",84.3,2545.75,"No"
"729","Married",70,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.2,1292.6,"No"
"544","Married",12,"Yes","yes","No","No","Cable","Yes","No","Monthly contract",55.05,1212.85,"Yes"
"215","Single",4,"Yes","No","No","No","No Internet","No internet ","No internet ","Monthly contract",20.05,100.9,"No"
"864","Married",65,"Yes","No","No","Yes","Fiber optic","No","No","Two year contract",80.35,5436.45,"Yes"
"4","Married",72,"Yes","No","No","Yes","Cable","Yes","Yes","One year contract",112.6,7882.25,"No"
"387","Single",70,"Yes","No","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.8,1304.8,"No"
"512","Single",2,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",44.3,19.45,"Yes"
"634","Married",64,"Yes","No","No","Yes","Fiber optic","No","Yes","Monthly contract",100.5,5971.25,"Yes"
"86","Married",27,"Yes","Yes","No","Yes","Cable","No","No","Monthly contract",74.95,2193,"No"
"726","Married",64,"Yes","No","No","Yes","Fiber optic","No","Yes","Two year contract",97.55,6413.65,"No"
"916","Single",16,"Yes","yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",19.9,299.05,"No"
"319","Married",10,"Yes","Yes","Yes","No","DSL","Yes","No","Monthly contract",63.95,846,"No"
"159","Married",37,"Yes","Yes","No","Yes","Cable","Yes","No","Monthly contract",80.5,3084.9,"No"
"814","Married",71,"Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Two year contract",107.5,7853.7,"No"
"40","Single",27,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","One year contract",19.7,367.55,"No"
"961","Married",17,"Yes","yes","Yes","No","DSL","Yes","No","One year contract",55.05,1195.75,"No"
"229","Married",70,"Yes","Yes","No","Yes","DSL","Yes","No","One year contract",69.65,5154.5,"No"
"519","Married",10,"Yes","yes","Yes","No","Fiber optic","No","No","Monthly contract",80.3,528.35,"Yes"
"353","Single",1,"No","No","No","No phone ","DSL","No","No","Monthly contract",25.25,79.9,"Yes"
"660","Married",59,"Yes","No","Yes","Yes","Fiber optic","No","Yes","Monthly contract",111.05,6519.75,"Yes"
"632","Single",52,"No","No","No","No phone ","DSL","No","No","One year contract",33.75,1195.25,"No"
"44","Single",59,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Two year contract",19.6,973.35,"No"
"322","Single",1,"Yes","Yes","Yes","No","No Internet","No internet ","No internet ","Monthly contract",20.5,75.05,"No"
"837","Married",71,"Yes","No","Yes","Yes","Fiber optic","No","No","Two year contract",81.4,5411.4,"No"
"971","Married",63,"Yes","No","Yes","No","Fiber optic","No","Yes","One year contract",100.15,6311.2,"No"
"545","Married",5,"Yes","yes","No","No","Fiber optic","No","Yes","Monthly contract",86.45,238.1,"No"
"955","Single",12,"Yes","yes","Yes","No","DSL","No","No","Monthly contract",49.25,382.2,"No"
